symbol,start_date,end_date
LINKUSD_221230,2022-06-01,2022-12-31
LINKUSD_230331,2022-09-01,2023-03-31
LINKUSD_230630,2022-12-01,2023-06-30
LINKUSD_230929,2023-03-01,2023-09-30
LINKUSD_231229,2023-06-01,2023-12-30
LINKUSD_240329,2023-09-01,2024-03-30
LINKUSD_240628,2023-12-01,
LINKUSD_240927,2024-03-01,
LINKUSD_PERP,2020-08-01,
LTCUSD_201225,2020-12-01,2020-12-26
LTCUSD_210326,2020-12-01,2021-03-27
LTCUSD_210625,2020-12-01,2021-06-26
LTCUSD_210924,2021-03-01,2021-09-25
LTCUSD_211231,2021-06-01,2021-12-31
LTCUSD_220325,2021-09-01,2022-03-26
LTCUSD_220624,2021-12-01,2022-06-25
LTCUSD_220930,2022-03-01,2022-09-30
LTCUSD_221230,2022-06-01,2022-12-31
LTCUSD_230331,2022-09-01,2023-03-31
LTCUSD_230630,2022-12-01,2023-06-30
LTCUSD_230929,2023-03-01,2023-09-30
LTCUSD_231229,2023-06-01,2023-12-30
LTCUSD_240329,2023-09-01,2024-03-30
LTCUSD_240628,2023-12-01,
LTCUSD_240927,2024-03-01,
LTCUSD_PERP,2020-09-01,
LUNAUSD_PERP,2021-09-01,2022-05-31
MANAUSD_PERP,2021-11-01,
MATICUSD_PERP,2021-12-01,
NEARUSD_PERP,2021-12-01,
OPUSD_PERP,2022-07-01,
ROSEUSD_PERP,2022-01-01,
RUNEUSD_PERP,2022-03-01,
SANDUSD_PERP,2021-11-01,
SOLUSD_PERP,2021-09-01,
THETAUSD_PERP,2021-04-01,
TRXUSD_201225,2020-12-01,2020-12-26
TRXUSD_210326,2020-12-01,2021-01-31
TRXUSD_PERP,2020-09-01,
UNIUSD_PERP,2021-04-01,
VETUSD_PERP,2022-03-01,
XLMUSD_PERP,2021-04-01,
XMRUSD_PERP,2022-04-01,2024-02-29
XRPUSD_201225,2020-11-01,2020-12-26
XRPUSD_210326,2020-11-01,2021-03-27
XRPUSD_210625,2020-12-01,2021-06-26
XRPUSD_210924,2021-03-01,2021-09-25
XRPUSD_211231,2021-06-01,2021-12-31
XRPUSD_220325,2021-09-01,2022-03-26
XRPUSD_220624,2021-12-01,2022-06-25
XRPUSD_220930,2022-03-01,2022-09-30
XRPUSD_221230,2022-06-01,2022-12-31
XRPUSD_230331,2022-09-01,2023-03-31
XRPUSD_230630,2022-12-01,2023-06-30
XRPUSD_230929,2023-03-01,2023-09-30
XRPUSD_231229,2023-06-01,2023-12-30
XRPUSD_240329,2023-09-01,2024-03-30
XRPUSD_240628,2023-12-01,
XRPUSD_240927,2024-03-01,
XRPUSD_PERP,2020-09-01,
XTZUSD_PERP,2022-02-01,
ZILUSD_PERP,2022-04-01,
